"cveID","dateAdded","dueDate","Remediation_Days","cvss_score","Severity"
"CVE-2026-45247",2026-06-03,2026-06-06,3,9.8,"Critical"
"CVE-2025-48595",2026-06-02,2026-06-05,3,8.4,"High"
"CVE-2024-21182",2026-06-01,2026-06-04,3,7.5,"High"
"CVE-2026-0257",2026-05-29,2026-06-01,3,9.1,"Critical"
"CVE-2026-48027",2026-05-27,2026-06-10,14,9.8,"Critical"
"CVE-2026-45321",2026-05-27,2026-06-10,14,9.6,"Critical"
"CVE-2026-8398",2026-05-27,2026-05-30,3,9.8,"Critical"
"CVE-2026-48172",2026-05-26,2026-05-29,3,9.8,"Critical"
"CVE-2026-9082",2026-05-22,2026-05-27,5,9.8,"Critical"
"CVE-2025-34291",2026-05-21,2026-06-04,14,8.8,"High"
"CVE-2026-34926",2026-05-21,2026-06-04,14,6.7,"Medium"
"CVE-2026-41091",2026-05-20,2026-06-03,14,7.8,"High"
"CVE-2026-45498",2026-05-20,2026-06-03,14,7.5,"High"
"CVE-2026-42897",2026-05-15,2026-05-29,14,6.1,"Medium"
"CVE-2026-20182",2026-05-14,2026-05-17,3,10,"Critical"
"CVE-2026-42208",2026-05-08,2026-05-11,3,9.8,"Critical"
"CVE-2026-6973",2026-05-07,2026-05-10,3,7.2,"High"
"CVE-2026-0300",2026-05-06,2026-05-09,3,9.8,"Critical"
"CVE-2026-31431",2026-05-01,2026-05-15,14,7.8,"High"
"CVE-2026-41940",2026-04-30,2026-05-03,3,9.8,"Critical"
"CVE-2024-1708",2026-04-28,2026-05-12,14,8.4,"High"
"CVE-2026-32202",2026-04-28,2026-05-12,14,4.3,"Medium"
"CVE-2025-29635",2026-04-24,2026-05-08,14,7.2,"High"
"CVE-2024-7399",2026-04-24,2026-05-08,14,9.8,"Critical"
"CVE-2024-57728",2026-04-24,2026-05-08,14,7.2,"High"
"CVE-2024-57726",2026-04-24,2026-05-08,14,9.9,"Critical"
"CVE-2026-39987",2026-04-23,2026-05-07,14,9.8,"Critical"
"CVE-2026-33825",2026-04-22,2026-05-06,14,7.8,"High"
"CVE-2026-20122",2026-04-20,2026-04-23,3,5.4,"Medium"
"CVE-2026-20133",2026-04-20,2026-04-23,3,7.5,"High"
"CVE-2025-2749",2026-04-20,2026-05-04,14,7.2,"High"
"CVE-2025-48700",2026-04-20,2026-04-23,3,6.1,"Medium"
"CVE-2026-20128",2026-04-20,2026-04-23,3,7.5,"High"
"CVE-2025-32975",2026-04-20,2026-05-04,14,10,"Critical"
"CVE-2024-27199",2026-04-20,2026-05-04,14,7.3,"High"
"CVE-2026-34197",2026-04-16,2026-04-30,14,8.8,"High"
"CVE-2026-32201",2026-04-14,2026-04-28,14,6.5,"Medium"
"CVE-2025-60710",2026-04-13,2026-04-27,14,7.8,"High"
"CVE-2026-21643",2026-04-13,2026-04-16,3,9.8,"Critical"
"CVE-2026-34621",2026-04-13,2026-04-27,14,8.6,"High"
"CVE-2026-1340",2026-04-08,2026-04-11,3,9.8,"Critical"
"CVE-2026-35616",2026-04-06,2026-04-09,3,9.8,"Critical"
"CVE-2026-3502",2026-04-02,2026-04-16,14,7.8,"High"
"CVE-2026-5281",2026-04-01,2026-04-15,14,8.8,"High"
"CVE-2026-3055",2026-03-30,2026-04-02,3,9.8,"Critical"
"CVE-2025-53521",2026-03-27,2026-03-30,3,9.8,"Critical"
"CVE-2026-33634",2026-03-26,2026-04-09,14,8.8,"High"
"CVE-2026-33017",2026-03-25,2026-04-08,14,9.8,"Critical"
"CVE-2025-32432",2026-03-20,2026-04-03,14,10,"Critical"
"CVE-2025-54068",2026-03-20,2026-04-03,14,9.8,"Critical"
"CVE-2025-43510",2026-03-20,2026-04-03,14,7.8,"High"
"CVE-2025-43520",2026-03-20,2026-04-03,14,5.5,"Medium"
"CVE-2025-31277",2026-03-20,2026-04-03,14,8.8,"High"
"CVE-2026-20131",2026-03-19,2026-03-22,3,10,"Critical"
"CVE-2025-66376",2026-03-18,2026-04-01,14,6.1,"Medium"
"CVE-2026-20963",2026-03-18,2026-03-21,3,9.8,"Critical"
"CVE-2025-47813",2026-03-16,2026-03-30,14,4.3,"Medium"
"CVE-2026-3910",2026-03-13,2026-03-27,14,8.8,"High"
"CVE-2026-3909",2026-03-13,2026-03-27,14,8.8,"High"
"CVE-2025-68613",2026-03-11,2026-03-25,14,8.8,"High"
"CVE-2025-26399",2026-03-09,2026-03-12,3,9.8,"Critical"
"CVE-2026-1603",2026-03-09,2026-03-23,14,7.5,"High"
"CVE-2026-22719",2026-03-03,2026-03-24,21,8.1,"High"
"CVE-2026-21385",2026-03-03,2026-03-24,21,7.8,"High"
"CVE-2026-20127",2026-02-25,2026-02-27,2,10,"Critical"
"CVE-2026-25108",2026-02-24,2026-03-17,21,8.8,"High"
"CVE-2025-49113",2026-02-20,2026-03-13,21,8.8,"High"
"CVE-2025-68461",2026-02-20,2026-03-13,21,6.1,"Medium"
"CVE-2026-22769",2026-02-18,2026-02-21,3,10,"Critical"
"CVE-2024-7694",2026-02-17,2026-03-10,21,7.2,"High"
"CVE-2026-2441",2026-02-17,2026-03-10,21,8.8,"High"
"CVE-2026-1731",2026-02-13,2026-02-16,3,9.8,"Critical"
"CVE-2026-20700",2026-02-12,2026-03-05,21,7.8,"High"
"CVE-2024-43468",2026-02-12,2026-03-05,21,9.8,"Critical"
"CVE-2025-15556",2026-02-12,2026-03-05,21,7.5,"High"
"CVE-2025-40536",2026-02-12,2026-02-15,3,9.8,"Critical"
"CVE-2026-21513",2026-02-10,2026-03-03,21,8.8,"High"
"CVE-2026-21525",2026-02-10,2026-03-03,21,6.2,"Medium"
"CVE-2026-21510",2026-02-10,2026-03-03,21,8.8,"High"
"CVE-2026-21533",2026-02-10,2026-03-03,21,7.8,"High"
"CVE-2026-21519",2026-02-10,2026-03-03,21,7.8,"High"
"CVE-2026-21514",2026-02-10,2026-03-03,21,7.8,"High"
"CVE-2025-11953",2026-02-05,2026-02-26,21,9.8,"Critical"
"CVE-2026-24423",2026-02-05,2026-02-26,21,9.8,"Critical"
"CVE-2025-64328",2026-02-03,2026-02-24,21,7.2,"High"
"CVE-2025-40551",2026-02-03,2026-02-06,3,9.8,"Critical"
"CVE-2026-1281",2026-01-29,2026-02-01,3,9.8,"Critical"
"CVE-2026-24858",2026-01-27,2026-01-30,3,9.8,"Critical"
"CVE-2025-52691",2026-01-26,2026-02-16,21,10,"Critical"
"CVE-2026-23760",2026-01-26,2026-02-16,21,9.8,"Critical"
"CVE-2026-24061",2026-01-26,2026-02-16,21,9.8,"Critical"
"CVE-2026-21509",2026-01-26,2026-02-16,21,7.8,"High"
"CVE-2024-37079",2026-01-23,2026-02-13,21,9.8,"Critical"
"CVE-2025-68645",2026-01-22,2026-02-12,21,8.8,"High"
"CVE-2025-34026",2026-01-22,2026-02-12,21,7.5,"High"
"CVE-2025-31125",2026-01-22,2026-02-12,21,7.5,"High"
"CVE-2025-54313",2026-01-22,2026-02-12,21,7.5,"High"
"CVE-2026-20045",2026-01-21,2026-02-11,21,9.8,"Critical"
"CVE-2026-20805",2026-01-13,2026-02-03,21,5.5,"Medium"
"CVE-2025-8110",2026-01-12,2026-02-02,21,8.8,"High"
"CVE-2025-37164",2026-01-07,2026-01-28,21,9.8,"Critical"
"CVE-2025-14847",2025-12-29,2026-01-19,21,7.5,"High"
"CVE-2025-14733",2025-12-19,2025-12-26,7,9.8,"Critical"
"CVE-2025-59374",2025-12-17,2026-01-07,21,9.8,"Critical"
"CVE-2025-40602",2025-12-17,2025-12-24,7,6.6,"Medium"
"CVE-2025-20393",2025-12-17,2025-12-24,7,10,"Critical"
"CVE-2025-59718",2025-12-16,2025-12-23,7,9.8,"Critical"
"CVE-2025-14611",2025-12-15,2026-01-05,21,9.8,"Critical"
"CVE-2025-43529",2025-12-15,2026-01-05,21,8.8,"High"
"CVE-2025-14174",2025-12-12,2026-01-02,21,8.8,"High"
"CVE-2025-58360",2025-12-11,2026-01-01,21,9.8,"Critical"
"CVE-2025-62221",2025-12-09,2025-12-30,21,7.8,"High"
"CVE-2025-66644",2025-12-08,2025-12-29,21,9.8,"Critical"
"CVE-2025-55182",2025-12-05,2025-12-12,7,10,"Critical"
"CVE-2025-48633",2025-12-02,2025-12-23,21,5.5,"Medium"
"CVE-2025-48572",2025-12-02,2025-12-23,21,7.8,"High"
"CVE-2025-61757",2025-11-21,2025-12-12,21,9.8,"Critical"
"CVE-2025-13223",2025-11-19,2025-12-10,21,8.8,"High"
"CVE-2025-58034",2025-11-18,2025-11-25,7,7.2,"High"
"CVE-2025-64446",2025-11-14,2025-11-21,7,9.8,"Critical"
"CVE-2025-12480",2025-11-12,2025-12-03,21,9.1,"Critical"
"CVE-2025-62215",2025-11-12,2025-12-03,21,7,"High"
"CVE-2025-9242",2025-11-12,2025-12-03,21,9.8,"Critical"
"CVE-2025-21042",2025-11-10,2025-12-01,21,9.8,"Critical"
"CVE-2025-48703",2025-11-04,2025-11-25,21,9,"Critical"
"CVE-2025-11371",2025-11-04,2025-11-25,21,7.5,"High"
"CVE-2025-41244",2025-10-30,2025-11-20,21,7.8,"High"
"CVE-2025-24893",2025-10-30,2025-11-20,21,9.8,"Critical"
"CVE-2025-6204",2025-10-28,2025-11-18,21,8,"High"
"CVE-2025-6205",2025-10-28,2025-11-18,21,9.1,"Critical"
"CVE-2025-54236",2025-10-24,2025-11-14,21,9.1,"Critical"
"CVE-2025-59287",2025-10-24,2025-11-14,21,9.8,"Critical"
"CVE-2025-2746",2025-10-20,2025-11-10,21,9.8,"Critical"
"CVE-2025-2747",2025-10-20,2025-11-10,21,9.8,"Critical"
"CVE-2025-33073",2025-10-20,2025-11-10,21,8.8,"High"
"CVE-2025-61884",2025-10-20,2025-11-10,21,7.5,"High"
"CVE-2025-54253",2025-10-15,2025-11-05,21,10,"Critical"
"CVE-2025-47827",2025-10-14,2025-11-04,21,4.6,"Medium"
"CVE-2025-24990",2025-10-14,2025-11-04,21,7.8,"High"
"CVE-2025-59230",2025-10-14,2025-11-04,21,7.8,"High"
"CVE-2025-27915",2025-10-07,2025-10-28,21,5.4,"Medium"
"CVE-2025-61882",2025-10-06,2025-10-27,21,9.8,"Critical"
"CVE-2025-21043",2025-10-02,2025-10-23,21,9.8,"Critical"
"CVE-2025-4008",2025-10-02,2025-10-23,21,8.8,"High"
"CVE-2025-32463",2025-09-29,2025-10-20,21,7.8,"High"
"CVE-2025-59689",2025-09-29,2025-10-20,21,6.1,"Medium"
"CVE-2025-10035",2025-09-29,2025-10-20,21,9.8,"Critical"
"CVE-2025-20352",2025-09-29,2025-10-20,21,7.7,"High"
"CVE-2025-20362",2025-09-25,2025-09-26,1,8.6,"High"
"CVE-2025-20333",2025-09-25,2025-09-26,1,9.9,"Critical"
"CVE-2025-10585",2025-09-23,2025-10-14,21,9.8,"Critical"
"CVE-2025-5086",2025-09-11,2025-10-02,21,9,"Critical"
"CVE-2025-38352",2025-09-04,2025-09-25,21,7.8,"High"
"CVE-2025-48543",2025-09-04,2025-09-25,21,8.8,"High"
"CVE-2025-53690",2025-09-04,2025-09-25,21,9,"Critical"
"CVE-2025-9377",2025-09-03,2025-09-24,21,7.2,"High"
"CVE-2025-55177",2025-09-02,2025-09-23,21,5.4,"Medium"
"CVE-2025-57819",2025-08-29,2025-09-19,21,9.8,"Critical"
"CVE-2025-7775",2025-08-26,2025-08-28,2,9.8,"Critical"
"CVE-2025-48384",2025-08-25,2025-09-15,21,8,"High"
"CVE-2024-8068",2025-08-25,2025-09-15,21,8,"High"
"CVE-2024-8069",2025-08-25,2025-09-15,21,8,"High"
"CVE-2025-43300",2025-08-21,2025-09-11,21,10,"Critical"
"CVE-2025-54948",2025-08-18,2025-09-08,21,9.8,"Critical"
"CVE-2025-8876",2025-08-13,2025-08-20,7,8.8,"High"
"CVE-2025-8875",2025-08-13,2025-08-20,7,7.8,"High"
"CVE-2025-8088",2025-08-12,2025-09-02,21,8.8,"High"
"CVE-2025-20337",2025-07-28,2025-08-18,21,10,"Critical"
"CVE-2025-20281",2025-07-28,2025-08-18,21,10,"Critical"
"CVE-2025-2775",2025-07-22,2025-08-12,21,7.5,"High"
"CVE-2025-2776",2025-07-22,2025-08-12,21,9.8,"Critical"
"CVE-2025-6558",2025-07-22,2025-08-12,21,8.8,"High"
"CVE-2025-54309",2025-07-22,2025-08-12,21,9.8,"Critical"
"CVE-2025-49704",2025-07-22,2025-07-23,1,8.8,"High"
"CVE-2025-49706",2025-07-22,2025-07-23,1,6.5,"Medium"
"CVE-2025-53770",2025-07-20,2025-07-21,1,9.8,"Critical"
"CVE-2025-25257",2025-07-18,2025-08-08,21,9.8,"Critical"
"CVE-2025-47812",2025-07-14,2025-08-04,21,10,"Critical"
"CVE-2025-5777",2025-07-10,2025-07-11,1,7.5,"High"
"CVE-2025-6554",2025-07-02,2025-07-23,21,8.1,"High"
"CVE-2025-48928",2025-07-01,2025-07-22,21,4,"Medium"
"CVE-2025-48927",2025-07-01,2025-07-22,21,5.3,"Medium"
"CVE-2025-6543",2025-06-30,2025-07-21,21,9.8,"Critical"
"CVE-2024-0769",2025-06-25,2025-07-16,21,9.8,"Critical"
"CVE-2024-54085",2025-06-25,2025-07-16,21,9.8,"Critical"
"CVE-2025-43200",2025-06-16,2025-07-07,21,4.2,"Medium"
"CVE-2025-33053",2025-06-10,2025-07-01,21,8.8,"High"
"CVE-2025-24016",2025-06-10,2025-07-01,21,9.9,"Critical"
"CVE-2024-42009",2025-06-09,2025-06-30,21,9.3,"Critical"
"CVE-2025-32433",2025-06-09,2025-06-30,21,10,"Critical"
"CVE-2025-5419",2025-06-05,2025-06-26,21,8.8,"High"
"CVE-2025-21479",2025-06-03,2025-06-24,21,8.6,"High"
"CVE-2025-21480",2025-06-03,2025-06-24,21,8.6,"High"
"CVE-2025-27038",2025-06-03,2025-06-24,21,7.5,"High"
"CVE-2025-3935",2025-06-02,2025-06-23,21,7.2,"High"
"CVE-2025-35939",2025-06-02,2025-06-23,21,5.3,"Medium"
"CVE-2024-56145",2025-06-02,2025-06-23,21,9.8,"Critical"
"CVE-2025-4632",2025-05-22,2025-06-12,21,9.8,"Critical"
"CVE-2024-27443",2025-05-19,2025-06-09,21,6.1,"Medium"
"CVE-2025-27920",2025-05-19,2025-06-09,21,8.8,"High"
"CVE-2024-11182",2025-05-19,2025-06-09,21,6.1,"Medium"
"CVE-2025-4428",2025-05-19,2025-06-09,21,8.8,"High"
"CVE-2025-4427",2025-05-19,2025-06-09,21,7.5,"High"
"CVE-2025-42999",2025-05-15,2025-06-05,21,9.1,"Critical"
"CVE-2024-12987",2025-05-15,2025-06-05,21,9.8,"Critical"
"CVE-2025-32756",2025-05-14,2025-06-04,21,9.8,"Critical"
"CVE-2025-32709",2025-05-13,2025-06-03,21,7.8,"High"
"CVE-2025-30397",2025-05-13,2025-06-03,21,7.5,"High"
"CVE-2025-32706",2025-05-13,2025-06-03,21,7.8,"High"
"CVE-2025-32701",2025-05-13,2025-06-03,21,7.8,"High"
"CVE-2025-30400",2025-05-13,2025-06-03,21,7.8,"High"
"CVE-2025-47729",2025-05-12,2025-06-02,21,4.9,"Medium"
"CVE-2024-11120",2025-05-07,2025-05-28,21,9.8,"Critical"
"CVE-2024-6047",2025-05-07,2025-05-28,21,9.8,"Critical"
"CVE-2025-27363",2025-05-06,2025-05-27,21,8.1,"High"
"CVE-2025-3248",2025-05-05,2025-05-26,21,9.8,"Critical"
"CVE-2025-34028",2025-05-02,2025-05-23,21,10,"Critical"
"CVE-2024-58136",2025-05-02,2025-05-23,21,9.8,"Critical"
"CVE-2024-38475",2025-05-01,2025-05-22,21,9.1,"Critical"
"CVE-2025-31324",2025-04-29,2025-05-20,21,9.8,"Critical"
"CVE-2025-1976",2025-04-28,2025-05-19,21,6.7,"Medium"
"CVE-2025-42599",2025-04-28,2025-05-19,21,9.8,"Critical"
"CVE-2025-3928",2025-04-28,2025-05-19,21,8.8,"High"
"CVE-2025-24054",2025-04-17,2025-05-08,21,5.4,"Medium"
"CVE-2025-31201",2025-04-17,2025-05-08,21,9.8,"Critical"
"CVE-2025-31200",2025-04-17,2025-05-08,21,9.8,"Critical"
"CVE-2024-53150",2025-04-09,2025-04-30,21,7.1,"High"
"CVE-2024-53197",2025-04-09,2025-04-30,21,7.8,"High"
"CVE-2025-29824",2025-04-08,2025-04-29,21,7.8,"High"
"CVE-2025-30406",2025-04-08,2025-04-29,21,9.8,"Critical"
"CVE-2025-31161",2025-04-07,2025-04-28,21,9.8,"Critical"
"CVE-2025-22457",2025-04-04,2025-04-11,7,9.8,"Critical"
"CVE-2025-24813",2025-04-01,2025-04-22,21,9.8,"Critical"
"CVE-2024-20439",2025-03-31,2025-04-21,21,9.8,"Critical"
"CVE-2025-2783",2025-03-27,2025-04-17,21,8.3,"High"
"CVE-2025-30154",2025-03-24,2025-04-14,21,8.6,"High"
"CVE-2024-48248",2025-03-19,2025-04-09,21,8.6,"High"
"CVE-2025-1316",2025-03-19,2025-04-09,21,9.8,"Critical"
"CVE-2025-30066",2025-03-18,2025-04-08,21,8.6,"High"
"CVE-2025-24472",2025-03-18,2025-04-08,21,8.1,"High"
"CVE-2025-21590",2025-03-13,2025-04-03,21,4.4,"Medium"
"CVE-2025-24201",2025-03-13,2025-04-03,21,10,"Critical"
"CVE-2025-24993",2025-03-11,2025-04-01,21,7.8,"High"
"CVE-2025-24991",2025-03-11,2025-04-01,21,5.5,"Medium"
"CVE-2025-24985",2025-03-11,2025-04-01,21,7.8,"High"
"CVE-2025-24984",2025-03-11,2025-04-01,21,4.6,"Medium"
"CVE-2025-24983",2025-03-11,2025-04-01,21,7,"High"
"CVE-2025-26633",2025-03-11,2025-04-01,21,7,"High"
"CVE-2024-13161",2025-03-10,2025-03-31,21,7.5,"High"
"CVE-2024-13160",2025-03-10,2025-03-31,21,7.5,"High"
"CVE-2024-13159",2025-03-10,2025-03-31,21,7.5,"High"
"CVE-2024-57968",2025-03-10,2025-03-31,21,8.8,"High"
"CVE-2025-25181",2025-03-10,2025-03-31,21,7.5,"High"
"CVE-2025-22226",2025-03-04,2025-03-25,21,6,"Medium"
"CVE-2025-22225",2025-03-04,2025-03-25,21,8.2,"High"
"CVE-2025-22224",2025-03-04,2025-03-25,21,8.2,"High"
"CVE-2024-50302",2025-03-04,2025-03-25,21,5.5,"Medium"
"CVE-2024-4885",2025-03-03,2025-03-24,21,9.8,"Critical"
"CVE-2024-49035",2025-02-25,2025-03-18,21,9.8,"Critical"
"CVE-2024-20953",2025-02-24,2025-03-17,21,8.8,"High"
"CVE-2025-24989",2025-02-21,2025-03-14,21,9.8,"Critical"
"CVE-2025-0111",2025-02-20,2025-03-13,21,6.5,"Medium"
"CVE-2025-23209",2025-02-20,2025-03-13,21,8.1,"High"
"CVE-2025-0108",2025-02-18,2025-03-11,21,9.1,"Critical"
"CVE-2024-53704",2025-02-18,2025-03-11,21,9.8,"Critical"
"CVE-2024-57727",2025-02-13,2025-03-06,21,7.5,"High"
"CVE-2025-24200",2025-02-12,2025-03-05,21,6.1,"Medium"
"CVE-2024-41710",2025-02-12,2025-03-05,21,7.2,"High"
"CVE-2024-40891",2025-02-11,2025-03-04,21,8.8,"High"
"CVE-2024-40890",2025-02-11,2025-03-04,21,8.8,"High"
"CVE-2025-21418",2025-02-11,2025-03-04,21,7.8,"High"
"CVE-2025-21391",2025-02-11,2025-03-04,21,7.1,"High"
"CVE-2025-0994",2025-02-07,2025-02-28,21,8.8,"High"
"CVE-2024-21413",2025-02-06,2025-02-27,21,9.8,"Critical"
"CVE-2025-0411",2025-02-06,2025-02-27,21,7,"High"
"CVE-2024-53104",2025-02-05,2025-02-26,21,7.8,"High"
"CVE-2024-29059",2025-02-04,2025-02-25,21,7.5,"High"
"CVE-2024-45195",2025-02-04,2025-02-25,21,7.5,"High"
"CVE-2025-24085",2025-01-29,2025-02-19,21,10,"Critical"
"CVE-2025-23006",2025-01-24,2025-02-14,21,9.8,"Critical"
"CVE-2024-50603",2025-01-16,2025-02-06,21,9.8,"Critical"
"CVE-2025-21335",2025-01-14,2025-02-04,21,7.8,"High"
"CVE-2025-21334",2025-01-14,2025-02-04,21,7.8,"High"
"CVE-2025-21333",2025-01-14,2025-02-04,21,7.8,"High"
"CVE-2024-55591",2025-01-14,2025-01-21,7,9.8,"Critical"
"CVE-2024-12686",2025-01-13,2025-02-03,21,7.2,"High"
"CVE-2025-0282",2025-01-08,2025-01-15,7,9,"Critical"
"CVE-2024-55550",2025-01-07,2025-01-28,21,2.7,"Low"
"CVE-2024-41713",2025-01-07,2025-01-28,21,9.1,"Critical"
"CVE-2024-3393",2024-12-30,2025-01-20,21,7.5,"High"
"CVE-2024-12356",2024-12-19,2024-12-27,8,9.8,"Critical"
"CVE-2024-55956",2024-12-17,2025-01-07,21,9.8,"Critical"
"CVE-2024-35250",2024-12-16,2025-01-06,21,7.8,"High"
"CVE-2024-20767",2024-12-16,2025-01-06,21,7.4,"High"
"CVE-2024-50623",2024-12-13,2025-01-03,21,9.8,"Critical"
"CVE-2024-49138",2024-12-10,2024-12-31,21,7.8,"High"
"CVE-2024-51378",2024-12-04,2024-12-25,21,9.8,"Critical"
"CVE-2024-11667",2024-12-03,2024-12-24,21,9.8,"Critical"
"CVE-2024-11680",2024-12-03,2024-12-24,21,9.8,"Critical"
"CVE-2024-21287",2024-11-21,2024-12-12,21,7.5,"High"
"CVE-2024-44309",2024-11-21,2024-12-12,21,6.3,"Medium"
"CVE-2024-44308",2024-11-21,2024-12-12,21,8.8,"High"
"CVE-2024-38813",2024-11-20,2024-12-11,21,9.8,"Critical"
"CVE-2024-38812",2024-11-20,2024-12-11,21,9.8,"Critical"
"CVE-2024-9474",2024-11-18,2024-12-09,21,7.2,"High"
"CVE-2024-0012",2024-11-18,2024-12-09,21,9.8,"Critical"
"CVE-2024-1212",2024-11-18,2024-12-09,21,9.8,"Critical"
"CVE-2024-9465",2024-11-14,2024-12-05,21,9.1,"Critical"
"CVE-2024-9463",2024-11-14,2024-12-05,21,7.5,"High"
"CVE-2024-43451",2024-11-12,2024-12-03,21,6.5,"Medium"
"CVE-2024-49039",2024-11-12,2024-12-03,21,8.8,"High"
"CVE-2024-51567",2024-11-07,2024-11-28,21,9.8,"Critical"
"CVE-2024-43093",2024-11-07,2024-11-28,21,7.3,"High"
"CVE-2024-5910",2024-11-07,2024-11-28,21,9.8,"Critical"
"CVE-2024-8956",2024-11-04,2024-11-25,21,9.1,"Critical"
"CVE-2024-8957",2024-11-04,2024-11-25,21,7.2,"High"
"CVE-2024-37383",2024-10-24,2024-11-14,21,6.1,"Medium"
"CVE-2024-20481",2024-10-24,2024-11-14,21,5.8,"Medium"
"CVE-2024-47575",2024-10-23,2024-11-13,21,9.8,"Critical"
"CVE-2024-38094",2024-10-22,2024-11-12,21,7.2,"High"
"CVE-2024-9537",2024-10-21,2024-11-11,21,9.8,"Critical"
"CVE-2024-40711",2024-10-17,2024-11-07,21,9.8,"Critical"
"CVE-2024-28987",2024-10-15,2024-11-05,21,9.1,"Critical"
"CVE-2024-9680",2024-10-15,2024-11-05,21,9.8,"Critical"
"CVE-2024-30088",2024-10-15,2024-11-05,21,7,"High"
"CVE-2024-9380",2024-10-09,2024-10-30,21,7.2,"High"
"CVE-2024-9379",2024-10-09,2024-10-30,21,7.2,"High"
"CVE-2024-23113",2024-10-09,2024-10-30,21,9.8,"Critical"
"CVE-2024-43573",2024-10-08,2024-10-29,21,8.1,"High"
"CVE-2024-43572",2024-10-08,2024-10-29,21,7.8,"High"
"CVE-2024-43047",2024-10-08,2024-10-29,21,7.8,"High"
"CVE-2024-45519",2024-10-03,2024-10-24,21,9.8,"Critical"
"CVE-2024-29824",2024-10-02,2024-10-23,21,8.8,"High"
"CVE-2024-7593",2024-09-24,2024-10-15,21,9.8,"Critical"
"CVE-2024-8963",2024-09-19,2024-10-10,21,9.1,"Critical"
"CVE-2024-27348",2024-09-18,2024-10-09,21,9.8,"Critical"
"CVE-2024-6670",2024-09-16,2024-10-07,21,9.8,"Critical"
"CVE-2024-43461",2024-09-16,2024-10-07,21,8.8,"High"
"CVE-2024-8190",2024-09-13,2024-10-04,21,7.2,"High"
"CVE-2024-38217",2024-09-10,2024-10-01,21,5.4,"Medium"
